"id","requirement","stage","source","verification_command","evidence_path","status","blocker"
"S2-01","Embedded Electron standalone and injected test execution modes use the same explicit backend lifecycle","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 7","npm run test:lifecycle","docs/release/evidence/stage-2/commands.md","verified","The shared composition and lifecycle pass 16/16 with zero skips; the disposable Windows protected-adapter smoke also passed."
"S2-02","The canonical SQLite schema is ordered transactional checksummed and compatible across supported databases","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 4","npm run test:migrations","docs/release/evidence/stage-2/commands.md","verified","Canonical opener migration concurrency ownership exact index schema and FTS contracts pass 88/88 with zero skips."
"S2-03","Loopback installation tokens browser sessions pairing credentials revocation and owner authorization are enforced","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 6","node --test backend/src/auth/auth.test.js","docs/release/evidence/stage-2/commands.md","verified","Focused authentication tests pass 7/7 and the complete backend suite passes 286/286 with zero skips."
"S2-04","API errors use a stable versioned envelope without leaking internal details","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 5","npm run test:contracts","docs/release/evidence/stage-2/commands.md","verified","Strict contract tests verify the exact stable error codes shape unknown-field rejection and safe deterministic validation output."
"S2-05","Pagination responses use bounded limits items nextCursor and hasMore","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 5","npm run test:contracts","docs/release/evidence/stage-2/commands.md","verified","Strict contract tests verify cursor-only requests limit bounds and consistent items nextCursor and hasMore responses."
"S2-06","Synchronization cursors are opaque monotonic bounded and never ordered by client clocks","2","docs/superpowers/specs/2026-07-25-easy-rewind-complete-release-and-android-sync-design.md Section 4.4","npm run test:contracts","docs/release/evidence/stage-2/commands.md","implemented","Opaque bounded cursors and strictly increasing per-device batch sequences are frozen; monotonic server cursor generation remains pending runtime implementation."
"S2-07","Reminder states transitions scheduling and per-device delivery states are explicit and deduplicated","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Tasks 4 and 5","npm run test:contracts","docs/release/evidence/stage-2/commands.md","verified","Contract transitions database reminder states and the unchanged per-device delivery vocabulary are executable and exact."
"S2-08","Health reports version schema API readiness migration availability and degraded state without secrets","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Tasks 5 and 7","npm run test:lifecycle","docs/release/evidence/stage-2/commands.md","verified","Contract-valid runtime health covers ready disabled degraded unavailable schema version and legacy-migration availability without component details."
"S2-09","Legacy migration is explicit dry-run first backup first and never starts automatically","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 9","node --test backend/src/legacy/migration.test.js","docs/release/evidence/stage-2/commands.md","verified","Explicit dry-run confirmation binding transactional import and inert startup behavior pass focused tests."
"S2-10","Database migration import resynchronization and destructive maintenance create and verify a destination backup first","2","docs/superpowers/specs/2026-07-25-easy-rewind-complete-release-and-android-sync-design.md Section 6","node --test backend/src/legacy/migration.test.js","docs/release/evidence/stage-2/commands.md","verified","Destination recovery-copy creation checksum verification and insufficient-disk refusal pass focused tests."
